Symbol	Description
AI	Arlington Asset Investment Corp
AI-B	Arlington Asset Investment Corp [Ai/Pb]
AI-C	Arlington Asset Investment Corp [Ai/Pc]
AIC	Arlington Asset Investment Cor
AIF	Apollo Tactical Income Fund Inc
AIG	American International Group
AIG-A	American International Group Inc [Aig/Pa]
AIG.W	American Intl Group Inc WT [Aig/W]
AIN	Albany International Corp
AIO	Allianzgi Artificial Intelligence & Technology O
AIR	AAR Corp
AIT	Applied Industrial Technologies
AIV	Apartment Investment and Management
AIW	Arlington Asset Investment Cor
AIZ	Assurant Inc
AIZP	Assurant Inc 6.50% Series D Mandatory Converti
AJG	Arthur J. Gallagher & Company
AJRD	Aerojet Rocketdyne Holdings
AJX	Great Ajax Corp
AJXA	Great Ajax Corp 7.25% Convertible Senior Notes
AKO.A	Embotell Andina Sa Cl A
AKO.B	Embotell Andna Sa Cl B
AKR	Acadia Realty Trust
AKS	AK Steel Holding Corp
AL	Air Lease Corp Cl A
AL-A	Air Lease Corp [Al/Pa]
ALB	Albemarle Corp
ALC	Alcon Inc
ALE	Allete Inc
ALEX	Alexander and Baldwin Inc
ALG	Alamo Group
ALK	Alaska Air Group
ALL	Allstate Corp
ALL-A	Allstate Corp [All/Pa]
ALL-B	Allstate Corp [All/Pb]
ALL-G	Allstate Corp [All/Pg]
ALL-H	Allstate Corp [All/Ph]
ALL-I	Allstate Corp 4.75% Prf Perpetual USD 25
ALL-Y	GMAC Capital Trust I [Ally/Pa]
ALLE	Allegion Plc
ALLY	Ally Financial
ALP-Q	Alabama Power Co. [Alp/Pq]
ALSN	Allison Transmission Holdings
ALU.U	Alussa Energy Acquisition Corp [Alus.U]
ALUS	Alussa Energy Acquisition Corp Cl A
ALV	Autoliv Inc
ALX	Alexander's Inc
AM	Antero Midstream Corp
AMC	Amc Entertainment Holdings Inc
AMCR	Amcor Plc
AME	Amtek Inc
AMG	Affiliated Managers Group
AMH	American Homes 4 Rent
AMH-D	American Homes 4 Rent [Amh/Pd]
AMH-E	American Homes 4 Rent [Amh/Pe]
AMH-F	American Homes 4 Rent [Amh/Pf]
AMH-G	American Homes 4 Rent [Amh/Pg]
AMH-H	American Homes 4 Rent [Amh/Ph]
AMK	Assetmark Financial Holdings Inc
AMN	Amn Healthcare Services Inc
AMOV	America Movil A ADR
AMP	Ameriprise Financial Services
AMPY	Amplify Energy Corp
AMRC	Ameresco Inc
AMRX	Amneal Pharmaceuticals Inc
AMT	American Tower Corp
AMX	America Movil S.A.B. DE C.V.
AN	Autonation Inc
ANET	Arista Networks Inc
ANF	Abercrombie & Fitch Company
ANFI	Amira Nature Foods Ltd
ANH	Anworth Mortgage Asset Corp
ANH-A	Anworth Mortgage Asset Cp [Anh/Pa]
ANH-B	Anworth Mortgage Asset Cp [Anh/Pb]
ANH-C	Anworth Mortgage Asset Cp [Anh/Pc]
ANTM	Anthem Inc
AOD	Alpine Total Dynamic Dividend
AON	AON Plc
AOS	Smith [A.O.] Corp
AP	Ampco-Pittsburgh Corp
APA	Apache Corp
APAM	Artisan Partners Asset Mgmt
APD	Air Products and Chemicals
APH	Amphenol Corp
APHA	Aphria Inc
APLE	Apple Hospitality REIT Inc
APO	Apollo Global Management Llc C
APO-A	Apollo Global Mgmt Inc [Apo/Pa]
APO-B	Apollo Global Mgmt Inc [Apo/Pb]
APRN	Blue Apron Holdings Inc
APTS	Preferred Apartment Communities
APTV	Aptiv Plc
APY	Apergy Corp
AQN	Algonquin Pwr & Util
AQNA	Algonquin Power & Utilities Corp
AQNB	Algonquin Power & Utilities Corp 6.20% Fixed-To
AQUA	Evoqua Water Technologies Corp
AR	Antero Resources Corp
ARA	American Renal Associates
ARC	American Reprographics Company
ARCH	Arch Coal Inc
ARCO	Arcos Dorados Holdings Inc
ARD	Ardagh Group S.A.
ARDC	Ares Dynamic Credit Allocation
ARE	Alexandria Real Estate Equities
ARE-A	Ares Management Corp [Ares/Pa]
ARES	Ares Management LP
ARGD	Argo Grp Itl Snr NTS
ARGO	Argo Group Intl Hlds
ARI	Apollo Commercial Real Estate
ARL	American Realty Investors
ARLO	Arlo Technologies Inc
ARMK	Aramark Holdings Corp
ARNC	Arconic Inc
AROC	Archrock Inc
ARR	Armour Residential R
ARR-B	Armour Residential REIT Inc [Arr/Pb]
ARW	Arrow Electronics
ASA	ASA Gold and Precious Metals
ASB	Associated Banc-Corp
ASB-C	Associated Banc-Corp [Asb/Pc]
ASB-D	Associated Banc-Corp [Asb/Pd]
ASB-E	Associated Banc-Corp [Asb/Pe]
ASC	Ardmore Shipping Corp
ASG	Liberty All-Star Growth Fund
ASGN	On Assignment
ASH	Ashland Global Holdings Inc
ASIX	Advansix Inc
ASPN	Aspen Aerogels Inc
ASR	Grupo Aeroportuario Del Sureste
ASX	Ase Industrial Holding Co. Ltd
AT	Atlantic Power Corp
ATEN	A10 Networks Inc
ATGE	Adtalem Global Education Inc
ATH	Athene Holding Ltd
ATH-A	Athene Hld Ltd [Ath/Pa]
ATH-B	Antah Hlds Ltd
ATHM	Autohome Inc
ATI	Allegheny Technologies Inc
ATKR	Atkore International Group
ATO	Atmos Energy Corp
ATR	Aptargroup
ATTO	Atento S.A.
ATUS	Altice USA Inc Cl A
ATV	Acorn International
AU	Anglogold Ashanti Ltd
AUY	Yamana Gold
AVA	Avista Corp
AVAL	Grupo Aval Acciones Y Valores S
AVB	Avalonbay Communities
AVD	American Vanguard Corp
AVH	Avianca Holdings S.A.
AVK	Advent Claymore Convertible Securities
AVLR	Avalara Inc
AVNS	Avanos Medical Inc
AVP	Avon Products
AVT-A	Avantor Inc [Avtr/Pa]
AVTR	Avantor Inc
AVX	Avx Corp
AVY	Avery Dennison Corp
AVYA	Avaya Holdings Corp
AWF	Alliancebernstein Global High Income Fund
AWI	Armstrong World Industries Inc
AWK	American Water Works
AWP	Alpine Global Premier Propertie
AWR	American States Water Company
AX	Axos Financial Inc
AXE	Anixter International Inc
AXL	American Axle & Manufacturing
AXO	Axos Financial Inc
AXP	American Express Company
AXR	Amrep Corp
AXS	Axis Capital Holdings
AXS-D	Axis Capital Holdings Ltd [Axs/Pd]
AXS-E	Axis Capital Holdings Ltd [Axs/Pe]
AXTA	Axalta Coating Systems Ltd
AYI	Acuity Brands Inc
AYR	Aircastle Ltd
AYX	Alteryx Inc
AZN	Astrazeneca Plc
AZO	Autozone
AZRE	Azure Power Global Ltd
AZUL	Azul S.A. ADR
AZZ	Azz Inc
